,Location,Burrito,Date,Cost,Hunger,Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Burrito2
163,lucha libre north park,Surf & Turf,8/30/2016,8.25,4.0,19.0,22.5,0.77,3.0,2.5,3.0,3.0,3.0,3.0,3.5,3,3.0,3.0,Yes,Hannah,Add avocado to ingredients,Surf & Turf
164,lucha libre north park,Surf & Turf,8/30/2016,8.25,3.0,19.0,24.0,0.87,5.0,3.0,5.0,4.0,2.0,2.0,5.0,2,2.0,2.0,No,Tammy,,Surf & Turf
165,lucha libre north park,Surf & Turf,8/30/2016,8.25,3.9,,,,2.1,1.9,2.6,2.4,2.9,3.2,4.0,2.5,3.0,2.4,No,Bankole,Not as good as the first time,Surf & Turf
166,lucha libre north park,Surf & Turf,8/30/2016,8.25,4.0,20.0,22.0,0.77,3.0,2.5,2.0,2.8,3.5,3.5,4.0,3,4.0,2.2,,Melissa N,,Surf & Turf
167,lucha libre north park,Surf & Turf,8/30/2016,8.25,3.5,20.0,22.0,0.77,3.6,3.2,3.2,3.5,3.6,3.5,,"3,8",3.9,3.6,,Katie,,Surf & Turf
168,lucha libre north park,Surfin California,8/30/2016,8.25,3.0,21.0,24.5,1.0,3.0,3.0,4.0,3.5,3.0,2.0,3.5,3.5,4.0,3.9,Yes,Emily,thick chips,Surfin California
169,lucha libre north park,Surfin California,8/30/2016,8.25,4.0,18.5,25.5,0.96,3.5,2.0,4.0,3.0,5.0,5.0,4.0,4,5.0,3.5,,Melissa G,Good guac,Surfin California
170,lucha libre north park,Surfin California,8/30/2016,8.25,4.0,,,,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3,4.0,3.0,Yes,Marc,"shrimp was questionable; salsa was mediocre to bad; overall ok, better than past burritos at lucha libre",Surfin California
171,lucha libre north park,Surfin California,8/30/2016,8.25,1.0,,,,3.0,2.0,4.0,3.0,5.0,5.0,4.0,3.5,5.0,3.5,,Ashley G,good guac but fries could be better,Surfin California
172,lucha libre north park,Surfin California,8/30/2016,8.25,2.0,20.0,24.5,0.96,3.5,2.0,5.0,3.5,4.0,2.5,3.5,3,3.5,3.5,Yes,Richard,probably positively biased by service,Surfin California
173,lucha libre north park,Surfin California,8/30/2016,8.25,3.0,19.0,24.0,0.87,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4,4.0,4.0,Yes,Mike T,,Surfin California
174,lucha libre north park,Surfin California,8/30/2016,8.25,1.0,19.5,25.5,1.01,4.0,3.0,3.5,3.0,5.0,4.0,2.0,3,4.0,3.0,,Sankha G,,Surfin California
175,lucha libre north park,Nutty,8/30/2016,7.5,3.8,19.0,25.0,0.94,3.8,4.0,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.4,,Luis,,other
176,lucha libre north park,Veg Out,8/30/2016,6.95,3.0,19.0,23.0,0.8,5.0,5.0,,5.0,,5.0,4.5,5,3.0,4.5,Yes,Aga,,other
177,lucha libre north park,Veggie,8/30/2016,5.25,3.0,19.5,25.5,1.01,4.5,4.5,,3.5,,3.0,4.0,3.5,5.0,3.25,Yes,Rob G,,other
178,lucha libre north park,Bean and cheese,8/30/2016,3.75,5.0,18.0,22.0,0.69,4.0,3.0,,1.0,,3.0,3.0,2,3.0,2.0,No,Meghan,Bland,other
179,lucha libre north park,California - Steak,8/30/2016,7.5,2.5,19.0,23.5,0.83,3.0,3.0,5.0,3.5,3.0,3.5,4.5,4,4.5,3.9,Yes,Scott,first bite sour crem,California
180,lucha libre north park,California - Steak,8/30/2016,7.5,5.0,17.0,23.0,0.72,3.5,3.0,2.0,3.0,3.0,2.0,4.0,2.5,5.0,3.5,,Devleena,fries = 4,California
181,lucha libre north park,California - Pork Adobada,8/30/2016,7.5,4.0,18.0,24.5,0.86,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3,5.0,3.0,Yes,Erik,,California
182,lucha libre north park,California - Pork Adobada,8/30/2016,7.5,4.5,18.0,26.0,0.97,3.5,4.0,4.5,4.0,3.5,3.5,4.0,4,4.5,4.25,Yes,Ricardo,,California
183,lucha libre north park,California - Pork Adobada,8/30/2016,7.5,2.0,19.0,25.0,0.94,4.0,5.0,5.0,4.0,4.5,4.5,5.0,4.5,4.0,4.5,Yes,Erin,,California
184,lucha libre north park,California - Chicken,8/30/2016,7.5,4.0,20.0,23.5,0.88,3.5,2.5,3.0,4.5,3.0,2.0,5.0,4.5,3.5,2.5,Yes,Kelsey,,California
185,lucha libre north park,California - Chicken,8/30/2016,7.5,3.0,20.0,22.0,0.77,3.5,5.0,3.5,4.0,3.0,3.0,4.0,2.5,5.0,3.0,No,Javier,"large, bt feels good in my hands",California
186,lucha libre north park,Holy Moly,8/30/2016,7.5,5.0,,,,3.5,2.0,3.5,3.5,3.0,4.0,2.0,2,4.0,3.5,,Sam A,,Holy Moly
187,lucha libre north park,Holy Moly,8/30/2016,7.5,3.0,17.0,21.0,0.6,2.5,2.5,3.0,2.0,2.0,1.0,5.0,1,5.0,1.5,No,Sage,all meat at bottom 1/8th,Holy Moly
188,lucha libre north park,Holy Moly,8/30/2016,7.5,4.0,17.5,21.2,0.63,5.0,3.0,5.0,5.0,3.0,2.0,2.0,3,5.0,4.0,Yes,Aaron S,,Holy Moly
189,lucha libre north park,Holy Moly,8/30/2016,7.5,5.0,19.0,21.0,0.67,5.0,4.0,2.0,1.0,4.0,3.0,5.0,4,2.0,2.0,,Jaeyoung,Ordered a specialty burrito and guess I was expecting an ordinary one! Sauce was good but overpowering; no veggies at all; overall just did not feel like a burrito.,Holy Moly
190,lucha libre north park,Holy Moly,8/30/2016,7.5,4.5,19.5,19.0,0.56,4.0,4.0,3.5,4.5,4.0,4.0,5.0,4.5,4.0,4.0,Yes,Matteo,,Holy Moly
